"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","BNDSS_ID","BNDSS_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment"
Avon,04110,G,2411658,G,19003,G,Avon,G,CO0119126,G,,x,Eagle,1,Colorado,1,39.644744,-106.513576,,,,
Basalt,04935,G,2411665,G,64017,G,Basalt,G,CO0119134,G,,x,"Eagle, Pitkin",2,Colorado,1,39.366535,-107.041715,,,,
Bayfield,05265,G,2411667,G,34005,G,Bayfield,G,CO0134030,G,,x,La Plata,1,Southwest,1,37.234261,-107.595124,,,,
Bennett,06090,G,2411676,G,64258,G,Bennett,G,CO0101020,G,,x,"Adams, Arapahoe",2,South Platte,1,39.736358,-104.428527,,https://www.colorado.gov/townofbennett,G,
Berthoud,06255,G,2411681,G,64237,G,Berthoud,G,CO0135138,G,,x,"Larimer, Weld",2,South Platte,1,40.307017,-105.041523,,http://www.berthoud.org/,G,
Bethune,06530,G,2411684,G,32001,G,Bethune,G,CO0132001,G,,x,Kit Carson,1,South Platte,1,39.303822,-102.423414,,,N,
Black Hawk,07025,G,2409856,G,24001,G,BlackHawk,G,CO0124147,G,,x,Gilpin,1,South Platte,1,39.804295,-105.494544,,http://www.cityofblackhawk.org/,G,
Blanca,07190,G,2411696,G,12001,G,Blanca,C,CO0112100,G,,x,Costilla,1,Rio Grande,1,37.439472,-105.513803,,,,New BNDSS ID; did not have an ID in original BNDSS
Blue River,07410,G,2411700,G,59002,G,BlueRiver,C,,M,,x,Summit,1,Colorado,1,39.434223,-106.036177,,,,New BNDSS ID; did not have an ID in original BNDSS
Bonanza City,07571,G,2411706,G,55002,G,BonanzaCity,C,CO0079129,G,,x,Saguache,1,Rio Grande,1,38.296619,-106.141869,,,,New BNDSS ID; did not have an ID in original BNDSS
Boone,07795,G,2411709,G,51005,G,Boone,G,CO0151150,G,,x,Pueblo,1,Arkansas,1,38.249454,-104.258092,,,,
Boulder,07850,G,2409883,G,07006,G,Boulder,G,CO0107152,G,,x,Boulder,1,South Platte,1,40.027293,-105.251551,,https://bouldercolorado.gov/,G,
Bow Mar,08070,G,2411713,G,64026,G,BowMar,C,,M,,x,"Arapahoe, Jefferson",2,Metro,1,39.625265,-105.051222,,https://www.colorado.gov/townofbowmar,G,New BNDSS ID; did not have an ID in original BNDSS
Branson,08345,G,2411720,G,36002,G,Branson,C,CO0136300,G,,x,Las Animas,1,Arkansas,1,37.015493,-103.883777,,,,New BNDSS ID; did not have an ID in original BNDSS
Breckenridge,08400,G,2411722,G,59004,G,Breckenridge,G,CO0159020,G,,x,Summit,1,Colorado,1,39.499495,-106.043226,,,,
Brighton,08675,G,2409911,G,64029,G,Brighton,G,CO0101025,G,,x,"Adams, Weld",2,"Metro, South Platte",2,39.971612,-104.796089,,http://www.brightonco.gov/,G,
Brookside,09115,G,2411733,G,22001,G,Brookside,G,CO0122050,G,,x,Fremont,1,Arkansas,1,38.413584,-105.191027,,,,
Broomfield,09280,G,2409919,G,64030,G,Broomfield,G,CO0107155,G,,x,Broomfield,1,"Metro, South Platte",2,39.954161,-105.052589,,https://www.broomfield.org/,G,
Brush,09555,G,2409926,G,44001,G,Brush,G,CO0144001,G,,x,Morgan,1,South Platte,1,40.258147,-103.632022,,http://www.brushcolo.com/,G,
Buena Vista,10105,G,2411739,G,08002,G,BuenaVista,G,CO0108300,G,,x,Chaffee,1,Arkansas,1,38.831775,-106.139013,,,,
Burlington,10600,G,2409946,G,32004,G,Burlington,G,CO0132005,G,,x,Kit Carson,1,South Platte,1,39.304205,-102.271483,,http://www.burlingtoncolo.com/,G,
Calhan,11260,G,2413149,G,21006,G,Calhan,C,CO0121075,G,,x,El Paso,1,Arkansas,1,39.034657,-104.300010,,,,New BNDSS ID; did not have an ID in original BNDSS
Campo,11645,G,2413155,G,05003,G,Campo,G,CO0105100,G,,x,Baca,1,Arkansas,1,37.104712,-102.578798,,,,
Canon City,11810,G,2409976,G,22002,G,CanonCity,G,CO0122100,G,,x,Fremont,1,Arkansas,1,38.443058,-105.220215,,,,
Carbonate,,M,,M,66636,G,Carbonate,C,,M,,x,Garfield,1,Colorado,1,39.744304,-107.339143,,,,New BNDSS ID; did not have an ID in original BNDSS
Carbondale,12045,G,2413166,G,23004,G,Carbondale,G,CO0123167,G,,x,Garfield,1,Colorado,1,39.394898,-107.214687,,,,
Castle Pines,12387,G,2500981,G,65986,G,CastlePines,C,,M,,x,Douglas,1,Metro,1,39.462491,-104.870600,,http://www.castlepinesgov.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Castle Rock,12415,G,2413179,G,18003,G,CastleRock,G,CO0118010,G,,x,Douglas,1,Metro,1,39.376152,-104.853344,,http://crgov.com/,G,
Cedaredge,12635,G,2413184,G,15003,G,Cedaredge,G,CO0115171,G,,x,Delta,1,Gunnison,1,38.894113,-107.925460,,,,
Centennial,12815,G,2409422,G,03163,G,Centennial,C,,M,,x,Arapahoe,1,Metro,1,39.592608,-104.867280,,http://www.centennialco.gov/,G,New BNDSS ID; did not have an ID in original BNDSS
Center,12855,G,2413186,G,64039,G,Center,G,CO0155500,G,,x,"Rio Grande, Saguache",2,Rio Grande,1,37.751340,-106.110833,,,,
Central City,12910,G,2409427,G,64263,G,CentralCity,G,CO0124171,G,,x,"Clear Creek, Gilpin",2,South Platte,1,39.797462,-105.516892,,https://www.colorado.gov/centralcity,G,
Cheraw,13460,G,2413193,G,45001,G,Cheraw,G,CO0145090,G,,x,Otero,1,Arkansas,1,38.107573,-103.511052,,,,
Cherry Hills Village,13845,G,2409443,G,03023,G,CherryHlsVlg,G,,M,,x,Arapahoe,1,Metro,1,39.637547,-104.948028,,https://www.cherryhillsvillage.com/,G,
Cheyenne Wells,14175,G,2413197,G,09007,G,CheyenneWells,C,CO0109006,G,,x,Cheyenne,1,South Platte,1,38.819202,-102.352030,,http://townofcheyennewells.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Coal Creek,15330,G,2413219,G,22006,G,CoalCreek,C,CO0122250,G,,x,Fremont,1,Arkansas,1,38.362117,-105.142176,,,,New BNDSS ID; did not have an ID in original BNDSS
Cokedale,15550,G,2413221,G,36004,G,Cokedale,C,CO0136185,G,,x,Las Animas,1,Arkansas,1,37.144223,-104.621590,,,,New BNDSS ID; did not have an ID in original BNDSS
Collbran,15605,G,2413226,G,39011,G,Collbran,G,CO0139185,G,,x,Mesa,1,Colorado,1,39.239678,-107.964516,,,,
Colorado Springs,16000,G,2410198,G,21015,G,CSU,G,CO0121150,G,,x,El Paso,1,Arkansas,1,38.867374,-104.760565,,,,
Columbine Valley,16385,G,2413232,G,03029,G,ColumbineValley,C,,M,,x,Arapahoe,1,Metro,1,39.599294,-105.035295,,http://www.columbinevalley.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Commerce City,16495,G,2410212,G,01005,G,CommerceCity,C,,M,,x,Adams,1,"Metro, South Platte",2,39.863975,-104.843441,,http://www.c3gov.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Cortez,17375,G,2410236,G,42004,G,Cortez,G,CO0142200,G,,x,Montezuma,1,Southwest,1,37.350367,-108.576640,,,,
Craig,17760,G,2410255,G,41004,G,Craig,G,CO0141188,G,,x,Moffat,1,Yampa,1,40.516988,-107.555660,,,,
Crawford,17925,G,2412382,G,15005,G,Crawford,G,CO0115188,G,,x,Delta,1,Gunnison,1,38.705057,-107.609676,,,,
Creede,14765,G,2412384,G,40001,G,Creede,G,CO0140500,G,,x,Mineral,1,Rio Grande,1,37.845032,-106.924122,,,,
Crested Butte,18310,G,2412385,G,26004,G,CrestedButte,G,CO0126188,G,,x,Gunnison,1,Gunnison,1,38.867641,-106.977269,,,,
Crestone,18420,G,2412387,G,55004,G,Crestone,G,,M,,x,Saguache,1,Rio Grande,1,37.994537,-105.696221,,,,
Cripple Creek,18530,G,2410265,G,60001,G,CrippleCreek,G,CO0160100,G,,x,Teller,1,Arkansas,1,38.746657,-105.185073,,,,
Crook,18640,G,2412389,G,38002,G,Crook,C,CO0138005,G,,x,Logan,1,South Platte,1,40.859165,-102.801366,,,N,New BNDSS ID; did not have an ID in original BNDSS
Crowley,18750,G,2412394,G,13002,G,Crowley,G,CO0113300,G,,x,Crowley,1,Arkansas,1,38.193506,-103.859743,,,,
Dacono,19080,G,2410283,G,62007,G,Dacono,G,CO0162200,G,,x,Weld,1,South Platte,1,40.062017,-104.948282,,http://www.ci.dacono.co.us/,G,
De Beque,19355,G,2412412,G,39012,G,DeBeque,C,CO0139205,G,,x,Mesa,1,Colorado,1,39.310184,-108.204869,,,,New BNDSS ID; did not have an ID in original BNDSS
Deer Trail,19630,G,2412415,G,03033,G,DeerTrail,C,CO0103030,G,,x,Arapahoe,1,South Platte,1,39.615363,-104.043303,,http://www.townofdeertrail.co/,G,New BNDSS ID; did not have an ID in original BNDSS
Del Norte,19795,G,2412416,G,53002,G,DelNorte,G,CO0153200,G,,x,Rio Grande,1,Rio Grande,1,37.678097,-106.354468,,,,
Delta,19850,G,2410319,G,15015,G,Delta,G,CO0115205,G,,x,Delta,1,Gunnison,1,38.756113,-108.077282,,,,
Denver,20000,G,2410324,G,16002,G,DenverWater,G,CO0116001,G,,x,Denver,1,"Metro, South Platte",2,39.761976,-104.875766,,https://www.denvergov.org/content/denvergov/en.html,G,
Dillon,20440,G,2412431,G,59009,G,Dillon,G,CO0159035,G,,x,Summit,1,Colorado,1,39.621294,-106.039241,,,,
Dinosaur,20495,G,2412432,G,41005,G,Dinosaur,G,CO0141210,G,,x,Moffat,1,Yampa,1,40.240260,-109.007512,,,,
Dolores,20770,G,2412439,G,42008,G,Dolores,G,CO0142400,G,,x,Montezuma,1,Southwest,1,37.473970,-108.500023,,,,
Dove Creek,21265,G,2412446,G,17003,G,DoveCreek,C,CO0117300,G,,x,Dolores,1,Southwest,1,37.766867,-108.907180,,,,New BNDSS ID; did not have an ID in original BNDSS
Durango,22035,G,2410374,G,34008,G,Durango,G,CO0134150,G,,x,La Plata,1,Southwest,1,37.275012,-107.870336,,,,
Eads,22145,G,2412454,G,31002,G,Eads,G,CO0131400,G,,x,Kiowa,1,Arkansas,1,38.481547,-102.779829,,,,
Eagle,22200,G,2412456,G,19009,G,Eagle,G,CO0119233,G,,x,Eagle,1,Colorado,1,39.636465,-106.812082,,,,
Eaton,22860,G,2412462,G,62008,G,Eaton,G,CO0162233,G,,x,Weld,1,South Platte,1,40.527223,-104.712559,,http://www.eatonco.org/,G,
Eckley,23025,G,2412464,G,63003,G,Eckley,G,CO0163001,G,,x,Yuma,1,South Platte,1,40.112252,-102.488307,,http://townofeckley.weebly.com/,G,
Edgewater,23135,G,2410399,G,30020,G,Edgewater,G,CO0130237,G,,x,Jefferson,1,Metro,1,39.750853,-105.062633,,http://www.edgewaterco.com/,G,
Elizabeth,23740,G,2412474,G,20004,G,Elizabeth,C,CO0120010,G,,x,Elbert,1,South Platte,1,39.361015,-104.606172,,http://www.townofelizabeth.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Empire,24620,G,2412485,G,10005,G,Empire,G,CO0110010,G,,x,Clear Creek,1,South Platte,1,39.759449,-105.682783,,,N,
Englewood,24785,G,2410441,G,03041,G,Englewood,G,CO0103045,G,,x,Arapahoe,1,Metro,1,39.646791,-104.994293,,http://www.englewoodco.gov/,G,
Erie,24950,G,2412599,G,64060,G,Erie,G,CO0162255,G,,x,"Boulder, Weld",2,South Platte,1,40.040157,-105.040252,,https://www.erieco.gov/,G,
Estes Park,25115,G,2412603,G,35004,G,EstesPark,G,CO0135257,G,,x,Larimer,1,South Platte,1,40.369870,-105.521623,,https://www.colorado.gov/townofestespark,G,
Evans,25280,G,2410467,G,62011,G,Evans,G,CO0162260,G,,x,Weld,1,South Platte,1,40.366034,-104.738911,,http://www.evanscolorado.gov/,G,
Fairplay,25610,G,2412616,G,47005,G,Fairplay,G,CO0147020,G,,x,Park,1,South Platte,1,39.224496,-105.996948,,http://fairplayco.us/,G,
Federal Heights,26270,G,2410493,G,01009,G,FederalHts,G,CO0101055,G,,x,Adams,1,Metro,1,39.865026,-105.015469,,http://www.fedheights.org/,G,
Firestone,26600,G,2412626,G,62012,G,Firestone,G,CO0162476,G,,x,Weld,1,South Platte,1,40.156383,-104.949470,,http://www.firestoneco.gov/,G,
Flagler,26765,G,2412628,G,32010,G,Flagler,G,CO0132010,G,,x,Kit Carson,1,South Platte,1,39.294399,-103.075062,,http://flaglercolorado.com/,G,
Fleming,26875,G,2412631,G,38005,G,Fleming,C,CO0138010,G,,x,Logan,1,South Platte,1,40.681191,-102.839506,,,N,New BNDSS ID; did not have an ID in original BNDSS
Florence,27040,G,2410510,G,22011,G,Florence,G,CO0122500,G,,x,Fremont,1,Arkansas,1,38.383560,-105.111978,,,,
Fort Collins,27425,G,2410526,G,35009,G,FtCollins,G,CO0135291,G,,x,Larimer,1,South Platte,1,40.547760,-105.065725,,https://www.fcgov.com/,G,
Fort Lupton,27700,G,2410528,G,62014,G,FtLupton,G,CO0162291,G,,x,Weld,1,South Platte,1,40.084165,-104.802365,,http://www.fortlupton.org/,G,
Fort Morgan,27810,G,2410529,G,44006,G,FtMorgan,G,CO0144005,G,,x,Morgan,1,South Platte,1,40.255795,-103.790371,,http://www.cityoffortmorgan.com/,G,
Fountain,27865,G,2410535,G,21026,G,FountainUtilities,G,CO0121275,G,,x,El Paso,1,Arkansas,1,38.688823,-104.682421,,,,
Fowler,27975,G,2412648,G,45004,G,Fowler,G,CO0145210,G,,x,Otero,1,Arkansas,1,38.130470,-104.026477,,,,
Foxfield,28105,G,2412649,G,03134,G,Foxfield,G,,M,,x,Arapahoe,1,Metro,1,39.588175,-104.785483,,https://www.foxfieldcolorado.com/,G,
Fraser,28305,G,2412655,G,25006,G,Fraser,G,CO0125288,G,,x,Grand,1,Colorado,1,39.930264,-105.802883,,,,
Frederick,28360,G,2412656,G,62016,G,Frederick,G,CO0162288,G,,x,Weld,1,South Platte,1,40.109531,-104.966881,,https://www.frederickco.gov/,G,
Frisco,28690,G,2412661,G,59015,G,Frisco,G,CO0159055,G,,x,Summit,1,Colorado,1,39.579143,-106.091539,,,,
Fruita,28745,G,2410553,G,39014,G,Fruita,C,CO0051540,G,,x,Mesa,1,Colorado,1,39.154859,-108.730487,,,,New BNDSS ID; did not have an ID in original BNDSS
Garden City,29185,G,2412667,G,62018,G,GardenCity,C,CO0140897,G,,x,Weld,1,South Platte,1,40.394586,-104.689525,,http://townofgardencity.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Genoa,29680,G,2412675,G,37004,G,Genoa,C,CO0137005,G,,x,Lincoln,1,South Platte,1,39.278264,-103.499310,,https://www.colorado.gov/townofgenoa,G,New BNDSS ID; did not have an ID in original BNDSS
Georgetown,29735,G,2412677,G,10007,G,Georgetown,G,CO0110015,G,,x,Clear Creek,1,South Platte,1,39.717971,-105.694229,,https://www.georgetown-colorado.org/,G,
Gilcrest,29955,G,2412683,G,62020,G,Gilcrest,C,CO0162310,G,,x,Weld,1,South Platte,1,40.284171,-104.782024,,http://townofgilcrest.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Glendale,30340,G,2410598,G,03043,G,Glendale,G,CO0103055,G,,x,Arapahoe,1,Metro,1,39.703597,-104.935205,,http://www.glendale.co.us/,G,
Glenwood Springs,30780,G,2410605,G,23008,G,GlenwoodSpgs,G,CO0123314,G,,x,Garfield,1,Colorado,1,39.545367,-107.334394,,,,
Golden,30835,G,2410611,G,30035,G,Golden,G,CO0130040,G,,x,Jefferson,1,Metro,1,39.740617,-105.211681,,http://www.cityofgolden.net/,G,
Granada,31550,G,2412698,G,50007,G,Granada,C,CO0150300,G,,x,Prowers,1,Arkansas,1,38.063193,-102.312236,,,,New BNDSS ID; did not have an ID in original BNDSS
Granby,31605,G,2412699,G,25008,G,Granby,G,CO0125321,G,,x,Grand,1,Colorado,1,40.064581,-105.920149,,,,
Grand Junction,31660,G,2410631,G,39020,G,GrandJunction,G,CO0139321,G,,x,Mesa,1,"Colorado, Gunnison",2,39.087831,-108.567497,,,,
Grand Lake,31715,G,2412701,G,25014,G,GrandLake,G,CO0125322,G,,x,Grand,1,Colorado,1,40.250330,-105.823026,,,,
Greeley,32155,G,2410654,G,62022,G,Greeley,G,CO0162321,G,,x,Weld,1,South Platte,1,40.414917,-104.770666,,https://greeleygov.com/,G,
Green Mountain Falls,32650,G,2412708,G,64070,G,GreenMtnFalls,G,CO0121400,G,,x,"El Paso, Teller",2,Arkansas,1,38.934608,-105.023309,,,,
Greenwood Village,33035,G,2410661,G,03051,G,GreenwoodVlg,G,CO0130323,G,,x,Arapahoe,1,Metro,1,39.615136,-104.913033,,http://www.greenwoodvillage.com/,G,
Grover,33310,G,2412712,G,62023,G,Grover,C,CO0162322,G,,x,Weld,1,South Platte,1,40.869104,-104.225941,,,N,New BNDSS ID; did not have an ID in original BNDSS
Gunnison,33640,G,2410674,G,26008,G,Gunnison,G,CO0126325,G,,x,Gunnison,1,Gunnison,1,38.548978,-106.924639,,,,
Gypsum,33695,G,2412716,G,19020,G,Gypsum,G,CO0119329,G,,x,Eagle,1,Colorado,1,39.628462,-106.933646,,,,
Hartman,34520,G,2412730,G,50008,G,Hartman,C,CO0150500,G,,x,Prowers,1,Arkansas,1,38.121110,-102.221337,,,,New BNDSS ID; did not have an ID in original BNDSS
Haswell,34740,G,2412734,G,31003,G,Haswell,C,CO0131600,G,,x,Kiowa,1,Arkansas,1,38.452507,-103.164839,,,,New BNDSS ID; did not have an ID in original BNDSS
Haxtun,34960,G,2412738,G,48004,G,Haxtun,C,CO0148001,G,,x,Phillips,1,South Platte,1,40.641876,-102.629715,,,N,New BNDSS ID; did not have an ID in original BNDSS
Hayden,35070,G,2412740,G,54005,G,Hayden,G,CO0154333,G,,x,Routt,1,Yampa,1,40.484828,-107.238474,,,,
Hillrose,36610,G,2412751,G,44007,G,Hillrose,C,CO0144010,G,,x,Morgan,1,South Platte,1,40.324654,-103.522175,,http://www.hillrosecolorado.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Holly,37215,G,2412764,G,50011,G,Holly,C,CO0150600,G,,x,Prowers,1,Arkansas,1,38.056555,-102.124297,,,,New BNDSS ID; did not have an ID in original BNDSS
Holyoke,37270,G,2410781,G,48005,G,Holyoke,G,CO0148005,G,,x,Phillips,1,South Platte,1,40.583414,-102.299812,,,,
Hooper,37380,G,2412766,G,02005,G,Hooper,C,,M,,x,Alamosa,1,Rio Grande,1,37.745925,-105.877379,,,,New BNDSS ID; did not have an ID in original BNDSS
Hot Sulphur Springs,37600,G,2412770,G,25015,G,HotSulphurSpgs,G,CO0125352,G,,x,Grand,1,Colorado,1,40.074869,-106.103178,,,,
Hotchkiss,37545,G,2412771,G,15020,G,Hotchkiss,G,CO0115352,G,,x,Delta,1,Gunnison,1,38.798951,-107.713382,,,,
Hudson,37820,G,2412776,G,62029,G,Hudson,G,CO0162359,G,,x,Weld,1,South Platte,1,40.089828,-104.621449,,,,
Hugo,37875,G,2412778,G,37006,G,Hugo,G,CO0137010,G,,x,Lincoln,1,Arkansas,1,39.136169,-103.472692,,,,
Idaho Springs,38370,G,2410092,G,10008,G,IdahoSpgs,G,CO0110020,G,,x,Clear Creek,1,South Platte,1,39.744445,-105.500109,,,,
Ignacio,38535,G,2412787,G,34015,G,Ignacio,G,CO0134500,G,,x,La Plata,1,Southwest,1,37.118034,-107.637386,,,,
Iliff,38590,G,2412788,G,38007,G,Iliff,C,CO0138015,G,,x,Logan,1,South Platte,1,40.759083,-103.066182,,,,New BNDSS ID; did not have an ID in original BNDSS
Jamestown,39195,G,2412800,G,07018,G,Jamestown,G,CO0107401,G,,x,Boulder,1,South Platte,1,40.118344,-105.391630,,,,
Johnstown,39855,G,2412807,G,64266,G,Johnstown,C,CO0162418,G,,x,"Larimer, Weld",2,South Platte,1,40.349893,-104.948157,,,,New BNDSS ID; did not have an ID in original BNDSS
Julesburg,39965,G,2412812,G,58004,G,Julesburg,C,CO0158001,G,,x,Sedgwick,1,South Platte,1,40.984514,-102.262760,,,,New BNDSS ID; did not have an ID in original BNDSS
Keenesburg,40185,G,2412820,G,62033,G,Keenesburg,G,CO0162438,G,,x,Weld,1,South Platte,1,40.111580,-104.503505,,,,
Kersey,40515,G,2412828,G,62035,G,Kersey,G,CO0055558,G,,x,Weld,1,South Platte,1,40.387783,-104.564447,,,,
Kim,40570,G,2412834,G,36005,G,Kim,C,CO0136400,G,,x,Las Animas,1,Arkansas,1,37.247062,-103.353411,,,,New BNDSS ID; did not have an ID in original BNDSS
Kiowa,40790,G,2412838,G,20005,G,Kiowa,G,CO0120015,G,,x,Elbert,1,South Platte,1,39.343041,-104.455417,,,,
Kit Carson,41010,G,2412842,G,09013,G,KitCarson,C,CO0109011,G,,x,Cheyenne,1,Arkansas,1,38.762823,-102.795366,,,,New BNDSS ID; did not have an ID in original BNDSS
Kremmling,41560,G,2412848,G,25018,G,Kremmling,G,CO0125455,G,,x,Grand,1,Colorado,1,40.056638,-106.378447,,,,
La Jara,42055,G,2412855,G,11009,G,LaJara,C,CO0111600,G,,x,Conejos,1,Rio Grande,1,37.273782,-105.960634,,,,New BNDSS ID; did not have an ID in original BNDSS
La Junta,42110,G,2411574,G,45007,G,LaJunta,G,CO0145420,G,,x,Otero,1,Arkansas,1,37.978960,-103.547741,,,,
La Salle,43605,G,2412856,G,62037,G,LaSalle,C,CO0162466,G,,x,Weld,1,South Platte,1,40.348480,-104.706165,,,,New BNDSS ID; did not have an ID in original BNDSS
La Veta,44100,G,2412857,G,28007,G,LaVeta,G,CO0128500,G,,x,Huerfano,1,Arkansas,1,37.508563,-105.008486,,,,
Lafayette,41835,G,2411592,G,07020,G,Lafayette,G,CO0107473,G,,x,Boulder,1,South Platte,1,39.994674,-105.099662,,https://www.cityoflafayette.com/,G,
Lake City,42330,G,2412863,G,27005,G,LakeCity,G,CO0127467,G,,x,Hinsdale,1,Gunnison,1,38.030037,-107.310630,,,,
Lakeside,42495,G,2412865,G,30053,G,Lakeside,C,,M,,x,Jefferson,1,Metro,1,39.780209,-105.057946,,,,New BNDSS ID; did not have an ID in original BNDSS
Lakewood,43000,G,2411614,G,30055,G,Lakewood,G,CO0130467,G,,x,Jefferson,1,Metro,1,39.697801,-105.116772,,,,
Lamar,43110,G,2411617,G,50012,G,Lamar,G,CO0150700,G,,x,Prowers,1,Arkansas,1,38.073651,-102.615165,,,,
Larkspur,43550,G,2412878,G,18021,G,Larkspur,C,CO0118030,G,,x,Douglas,1,Metro,1,39.231615,-104.892412,,,,New BNDSS ID; did not have an ID in original BNDSS
Las Animas,43660,G,2411628,G,06005,G,LasAnimas,G,CO0106300,G,,x,Bent,1,Arkansas,1,38.069518,-103.223542,,,,
Leadville,44320,G,2411641,G,33004,G,Leadville,C,,M,,x,Lake,1,Arkansas,1,39.247371,-106.293444,,,,New BNDSS ID; did not have an ID in original BNDSS
Limon,44980,G,2412897,G,37007,G,Limon,G,CO0137015,G,,x,Lincoln,1,Arkansas,1,39.267942,-103.684451,,,,
Littleton,45255,G,2410845,G,64085,G,Littleton,G,CO0103476,G,,x,"Arapahoe, Douglas, Jefferson",3,Metro,1,39.591525,-105.018772,,,,
Lochbuie,45530,G,2412905,G,62038,G,Lochbuie,G,CO0162486,G,,x,"Adams, Weld",2,"Metro, South Platte",2,40.011701,-104.727105,,,,
Log Lane Village,45695,G,2412910,G,44009,G,LogLaneVlg,G,CO0144015,G,,x,Morgan,1,South Platte,1,40.270438,-103.829708,,,,
Lone Tree,45955,G,2410864,G,18104,G,LoneTree,C,,M,,x,Douglas,1,Metro,1,39.530806,-104.870980,,,,New BNDSS ID; did not have an ID in original BNDSS
Longmont,45970,G,2410869,G,64205,G,Longmont,G,CO0107485,G,,x,"Boulder, Weld",2,South Platte,1,40.169066,-105.099499,,https://www.longmontcolorado.gov/,G,
Louisville,46355,G,2410884,G,07029,G,Louisville,G,CO0107487,G,,x,Boulder,1,South Platte,1,39.970949,-105.144020,,http://www.louisvilleco.gov/,G,
Loveland,46465,G,2410886,G,35026,G,Loveland,G,CO0135485,G,,x,Larimer,1,South Platte,1,40.416724,-105.062065,,http://www.cityofloveland.org/,G,
Lyons,47070,G,2412930,G,07032,G,Lyons,G,CO0107496,G,,x,Boulder,1,South Platte,1,40.222857,-105.268858,,,,
Manassa,48060,G,2412937,G,11010,G,Manassa,C,CO0111700,G,,x,Conejos,1,Rio Grande,1,37.173743,-105.937340,,,,New BNDSS ID; did not have an ID in original BNDSS
Mancos,48115,G,2412939,G,42016,G,Mancos,G,CO0142700,G,,x,Montezuma,1,Southwest,1,37.346648,-108.293969,,,,
Manitou Springs,48445,G,2411021,G,21030,G,ManitouSpgs,G,CO0121450,G,,x,El Paso,1,Arkansas,1,38.857614,-104.912793,,,,
Manzanola,48500,G,2412949,G,45009,G,Manzanola,G,CO0145450,G,,x,Otero,1,Arkansas,1,38.108767,-103.866809,,,,
Marble,48555,G,2412952,G,26010,G,Marble,C,,M,,x,Gunnison,1,Colorado,1,39.071654,-107.190675,,,,New BNDSS ID; did not have an ID in original BNDSS
Mead,49600,G,2412970,G,62040,G,Mead,C,CO0162500,G,,x,Weld,1,South Platte,1,40.232164,-104.992771,,,,New BNDSS ID; did not have an ID in original BNDSS
Meeker,49875,G,2412977,G,52007,G,Meeker,G,CO0152505,G,,x,Rio Blanco,1,Yampa,1,40.049988,-107.894444,,,,
